name,essround,edition,proddate,idno,cntry,dweight,pspwght,pweight,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,sclmeet,sclact,hhmmb,gndr,yrbrn,agea,eisced,edulvlb,crpdwk,hincfel,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
ESS9e03_1,9,3.1,17.02.2021,55068,DE,0.9994662404060364,0.6756071448326111,3.0373449325561523,6,6,8,2,2,88,6,1,6,4,2,2,1957,61,7,720,1,1,1,4,2,3,2,2,6,2,2,2,1,2,2,4,3,3,5,2,1,4,5
ESS9e03_1,9,3.1,17.02.2021,55082,DE,0.9994662404060364,0.4656888246536255,3.0373449325561523,5,4,4,2,1,3,4,2,3,1,2,1,1955,64,5,520,2,2,3,5,1,5,2,2,3,1,1,5,2,1,5,1,6,2,4,1,2,2,4
ESS9e03_1,9,3.1,17.02.2021,55086,DE,0.9994662404060364,0.7903580665588379,3.0373449325561523,5,5,8,5,3,3,8,1,4,3,2,2,1964,55,6,610,6,1,2,5,2,3,5,3,3,2,3,3,2,2,3,4,5,5,2,2,2,2,3
ESS9e03_1,9,3.1,17.02.2021,55092,DE,0.9994662404060364,0.942275881767273,3.0373449325561523,8,8,5,4,4,6,7,1,4,2,2,2,1946,72,3,322,2,2,2,6,2,6,3,4,2,2,2,4,1,2,5,2,6,3,4,1,1,2,5
ESS9e03_1,9,3.1,17.02.2021,55116,DE,0.9994662404060364,1.0279556512832642,3.0373449325561523,7,8,8,7,6,8,7,1,6,4,2,2,1997,21,4,313,6,1,3,4,2,3,4,2,4,3,5,1,2,4,3,3,2,4,3,1,1,4,1
ESS9e03_1,9,3.1,17.02.2021,55137,DE,0.9994662404060364,0.5896424055099487,3.0373449325561523,3,3,3,2,2,5,7,1,5,2,4,2,1966,52,7,720,6,1,2,2,1,5,4,4,5,1,3,2,2,2,5,3,5,2,3,2,3,4,4
ESS9e03_1,9,3.1,17.02.2021,55151,DE,0.9994662404060364,0.6058521866798401,3.0373449325561523,2,5,3,2,2,2,0,1,4,3,2,1,1957,61,7,720,6,1,2,5,5,2,2,2,5,2,5,2,2,2,5,2,4,5,5,2,2,2,2
ESS9e03_1,9,3.1,17.02.2021,55200,DE,0.9994662404060364,0.9783135652542114,3.0373449325561523,5,5,8,3,2,3,5,1,5,3,2,1,1939,79,3,322,2,2,4,5,3,3,4,5,3,3,2,5,2,2,4,2,6,5,5,2,3,4,6
ESS9e03_1,9,3.1,17.02.2021,55249,DE,0.9994662404060364,0.9783135652542114,3.0373449325561523,5,5,5,5,5,5,5,1,3,3,1,1,1958,60,3,322,6,2,3,5,5,5,2,3,3,3,2,2,2,3,5,3,5,2,3,2,2,4,3
ESS9e03_1,9,3.1,17.02.2021,55257,DE,0.9994662404060364,1.2261273860931396,3.0373449325561523,3,3,5,1,1,1,2,1,6,2,2,1,1941,77,3,322,2,2,4,6,2,6,4,2,6,2,5,5,1,2,5,4,3,2,5,2,2,2,5
ESS9e03_1,9,3.1,17.02.2021,55321,DE,0.9994662404060364,0.9783135652542114,3.0373449325561523,2,3,7,5,4,3,3,1,5,3,2,1,1932,86,3,322,2,1,3,5,6,3,2,4,2,5,4,3,1,3,2,1,6,2,2,2,1,4,3
ESS9e03_1,9,3.1,17.02.2021,55377,DE,0.9994662404060364,0.8410544991493225,3.0373449325561523,3,5,7,7,4,5,5,1,3,3,2,2,1954,65,3,322,2,2,1,5,2,5,2,2,2,2,2,2,2,2,2,2,4,2,3,2,2,2,3
ESS9e03_1,9,3.1,17.02.2021,55388,DE,0.9994662404060364,1.0794105529785156,3.0373449325561523,7,6,6,4,4,3,5,2,5,2,2,1,1963,56,3,322,6,1,1,5,1,5,5,3,6,2,2,2,2,3,4,2,5,3,5,1,2,2,4
ESS9e03_1,9,3.1,17.02.2021,55397,DE,0.9994662404060364,1.0864747762680054,3.0373449325561523,5,9,8,5,3,5,5,3,6,4,4,1,1993,25,3,322,6,1,4,3,1,2,2,4,4,2,2,4,5,3,3,2,5,2,5,2,4,4,4
ESS9e03_1,9,3.1,17.02.2021,55411,DE,0.9994662404060364,0.8540229201316833,3.0373449325561523,6,4,4,2,1,5,5,1,3,2,2,2,1956,63,3,321,6,1,2,3,1,3,1,3,5,1,1,3,1,3,3,2,4,3,4,1,1,5,4
ESS9e03_1,9,3.1,17.02.2021,55437,DE,0.9994662404060364,1.0864747762680054,3.0373449325561523,4,2,2,5,6,6,8,1,6,3,3,1,1992,27,5,423,6,2,2,3,1,2,2,4,5,2,3,2,2,3,2,3,3,2,3,1,2,4,2
ESS9e03_1,9,3.1,17.02.2021,55541,DE,0.9994662404060364,1.275009036064148,3.0373449325561523,8,8,10,2,2,3,4,3,3,2,2,2,1988,30,5,423,6,2,3,3,3,4,2,2,3,4,4,2,2,3,4,2,2,3,4,4,2,6,3
ESS9e03_1,9,3.1,17.02.2021,55563,DE,0.9994662404060364,0.7760168313980103,3.0373449325561523,9,8,9,7,7,6,8,1,5,3,2,1,1964,54,5,520,6,1,5,2,2,3,2,3,5,2,3,2,1,3,3,2,4,5,5,2,2,5,5
ESS9e03_1,9,3.1,17.02.2021,55601,DE,0.9994662404060364,0.8814955353736877,3.0373449325561523,6,8,6,4,5,6,5,1,6,4,3,1,1984,35,7,720,6,2,3,4,2,5,5,3,3,2,2,2,3,3,4,3,3,3,4,2,2,2,4
ESS9e03_1,9,3.1,17.02.2021,55618,DE,0.9994662404060364,1.3083268404006958,3.0373449325561523,0,5,10,0,3,4,3,2,4,2,1,1,1980,38,3,322,6,2,2,6,1,1,1,3,6,1,2,4,1,3,5,4,6,1,6,1,1,2,5
ESS9e03_1,9,3.1,17.02.2021,55645,DE,0.9994662404060364,1.0794105529785156,3.0373449325561523,5,4,10,5,5,5,5,2,2,1,1,1,1930,88,3,322,2,2,2,6,1,6,2,5,2,2,1,5,1,1,1,1,6,6,4,1,1,1,5
